ID,lat,lon,workload,conn
787,31.149677,121.729053,12212,9
788,31.14969,121.5313,7228,7
789,31.150193,121.45419,3040,6
790,31.15029,121.4718,642,4
791,31.150303,121.430423,687,4
792,31.1504,121.5375,11897,8
793,31.150483,121.491401,5340,9
794,31.15059,121.499,333,5
795,31.150662,121.434931,3794,6
796,31.1508,121.7287,5057,2
797,31.150865,121.336324,692,1
798,31.15101,121.3242,495,2
799,31.151421,121.279419,5970,7
800,31.15154,121.4111,9652,9
801,31.152045,121.420017,939,4
802,31.15216,121.5149,9637,7
803,31.152177,121.172752,3905,7
804,31.15218,121.5647,7592,5
805,31.15228,121.118001,8657,3
806,31.15256,121.4607,334,3
807,31.152571,121.412981,29,0
808,31.15275,121.1826,5894,1
809,31.153746,121.504388,12075,10
810,31.15414,121.1188,33,0
811,31.154462,121.123826,31,0
812,31.1545,121.5014,51,3
813,31.154675,121.81374,2163,5
814,31.15488,121.1312,5454,6
815,31.154909,121.436989,1764,4
816,31.15492,121.3605,12677,9
817,31.155148,121.597536,954,11
818,31.1553,121.5735,10523,9
819,31.15534,121.2025,5157,10
820,31.155342,121.8105,2622,3
821,31.155349,121.375527,1466,5
822,31.15538,121.7716,9333,5
823,31.155403,121.57642,13698,7
824,31.15562,121.1309,182,3
825,31.155848,121.383402,12118,7
826,31.15637,121.4183,290,5
827,31.156454,121.815297,2049,3
828,31.15681,121.2368,828,2
829,31.156874,121.348458,5891,7
830,31.15693,121.1219,1086,2
831,31.156954,121.146623,304,1
832,31.15702,121.1064,943,2
833,31.157022,121.498865,306,5
