ID,latitude,longitude,UserAccessTime(min),UserAccessNum,worktime(min)
917,31.17247,121.404203,66167.18333333333,535,5325.383333333333
918,31.17255,121.363745,24591.3,268,6688.566666666667
919,31.17255,121.405133,26.95,2,26.95
920,31.172757,121.425965,43882.316666666666,397,7232.233333333334
921,31.172778,121.53453,1267.2,43,840.9333333333333
922,31.172866,121.434994,695.7166666666667,164,476.3666666666667
923,31.173163,121.356571,12368.883333333333,249,4881.283333333334
924,31.173828,121.781108,218.21666666666667,3,218.21666666666667
925,31.173856,121.350522,15176.766666666666,189,4782.383333333333
926,31.174053,121.282683,172555.16666666666,1094,12709.366666666667
927,31.174203,121.431404,7463.7,165,3046.133333333333
928,31.174217,121.289644,6625.383333333333,65,5112.95
929,31.174223,121.436719,0.9666666666666667,1,0.9666666666666667
930,31.174287,121.435995,31.683333333333334,3,31.683333333333334
931,31.174304,121.436093,87.33333333333333,14,87.33333333333333
932,31.1744,121.285083,155532.86666666667,892,11266.3
933,31.174661,121.52822,227197.88333333333,1116,13659.75
934,31.174748,121.39247,13679.466666666667,244,6244.533333333334
935,31.175318,121.181299,59807.3,697,9150.6
936,31.175621,121.317835,27425.0,414,7145.65
937,31.175781,121.643301,28601.916666666668,230,8326.583333333334
938,31.175943,121.424363,4967.716666666666,128,2274.5
939,31.175983,121.381611,1361.1166666666666,20,929.55
940,31.17605,121.431225,20010.116666666665,387,4978.733333333334
941,31.17625,121.418829,1202.3666666666666,43,949.8333333333334
942,31.176379,121.397706,78663.93333333333,462,11392.2
943,31.176489,121.188906,470.48333333333335,18,360.3833333333333
944,31.17665,121.132941,24594.433333333334,462,7018.65
945,31.176807,121.251063,14360.066666666668,253,5476.383333333333
946,31.176813,121.439114,65176.3,550,7511.583333333333
947,31.176978,121.499522,66677.96666666666,633,9566.966666666667
948,31.176998,121.423586,24386.883333333335,264,7080.183333333333
949,31.177067,121.370844,35798.86666666667,340,8088.366666666667
950,31.177098,121.525845,170.81666666666666,11,170.81666666666666
951,31.177169,121.445517,25980.966666666667,435,6437.033333333334
952,31.177248,121.51249,133.56666666666666,1,133.56666666666666
953,31.177291,121.405153,714.4166666666666,33,714.4166666666666
954,31.177439,121.108654,25.95,6,16.316666666666666
955,31.17762,121.511042,40422.0,398,7820.366666666667
956,31.177646,121.555355,31780.933333333334,365,8143.0
957,31.177836,121.408499,384.21666666666664,10,378.5833333333333
958,31.177858,121.346956,24911.25,351,8440.583333333334
959,31.178033,121.487803,2165.866666666667,68,1402.4833333333333
960,31.178088,121.413515,50816.01666666667,259,7086.133333333333
961,31.178278,121.606216,12334.333333333334,252,5339.483333333334
962,31.178359,121.279284,58663.53333333333,612,8991.283333333333
963,31.178673,121.521509,245.26666666666668,3,245.26666666666668
